tcin,original_tcin,dpci,title,url,image_url,merged_bread_crumbs
90027549,90027549,211-03-0025,Strawberry Balsamic Chopped Salad Kit - 11.05oz - Tabitha Brown for Target,https://www.target.com/p/strawberry-balsamic-chopped-salad-kit-11-05oz-tabitha-brown-for-target/-/A-90027549,https://target.scene7.com/is/image/Target/GUEST_847dd975-8f26-4c1f-9169-7a8f60bb9ec5,Target/Ways to Shop/Brand Experiences/Tabitha Brown for Target
89731927,89731927,071-06-0639,Roasted Garlic &#38; Parmesan Organic Popcorn - 5oz - Tabitha Brown for Target,https://www.target.com/p/roasted-garlic-38-parmesan-organic-popcorn-5oz-tabitha-brown-for-target/-/A-89731927,https://target.scene7.com/is/image/Target/GUEST_ca523f0e-1a13-40b4-9290-e55bfc156e11,Target/Ways to Shop/Brand Experiences/Tabitha Brown for Target
90233102,90233102,216-33-0107,Lemon Garlic Dill Hummus - 10oz - Tabitha Brown for Target,https://www.target.com/p/lemon-garlic-dill-hummus-10oz-tabitha-brown-for-target/-/A-90233102,https://target.scene7.com/is/image/Target/GUEST_ada4d25c-0393-4f03-8ac3-b4572323ce54,Target/Ways to Shop/Brand Experiences/Tabitha Brown for Target
89731928,89731928,071-06-0640,Dill Pickle Organic Popcorn - 5oz - Tabitha Brown for Target,https://www.target.com/p/dill-pickle-organic-popcorn-5oz-tabitha-brown-for-target/-/A-89731928,https://target.scene7.com/is/image/Target/GUEST_197e6b46-66d7-4ac8-b1d7-7f206ffadbca,Target/Ways to Shop/Brand Experiences/Tabitha Brown for Target
90233103,90233103,216-33-0108,Jalape&#241;o Lime with Cilantro Hummus - 10oz - Tabitha Brown for Target,https://www.target.com/p/jalape-241-o-lime-with-cilantro-hummus-10oz-tabitha-brown-for-target/-/A-90233103,https://target.scene7.com/is/image/Target/GUEST_cd237ae1-ec18-40ad-b463-6b384aaecbd1,Target/Ways to Shop/Brand Experiences/Tabitha Brown for Target
90263674,90263674,216-34-0638,Polenta &#38; Mushroom Vegan Ravioli - 9oz - Tabitha Brown for Target,https://www.target.com/p/polenta-38-mushroom-vegan-ravioli-9oz-tabitha-brown-for-target/-/A-90263674,https://target.scene7.com/is/image/Target/GUEST_056cc337-7503-4d3a-a424-dc48ce149ba4,Target/Ways to Shop/Brand Experiences/Tabitha Brown for Target
90263675,90263675,216-34-0639,Sweet Pea &#38; Basil Vegan Ravioli - 9oz - Tabitha Brown for Target,https://www.target.com/p/sweet-pea-38-basil-vegan-ravioli-9oz-tabitha-brown-for-target/-/A-90263675,https://target.scene7.com/is/image/Target/GUEST_79f24381-c528-4fa3-b427-2bd244e05d03,Target/Ways to Shop/Brand Experiences/Tabitha Brown for Target
90111780,90111780,211-01-0029,Vegan Onion &#38; Garlic Dip - 8oz - Tabitha Brown for Target,https://www.target.com/p/vegan-onion-38-garlic-dip-8oz-tabitha-brown-for-target/-/A-90111780,https://target.scene7.com/is/image/Target/GUEST_f1f3412f-1583-4c65-8c07-4d39f2b70c90,Target/Ways to Shop/Brand Experiences/Tabitha Brown for Target
89479959,89479959,212-06-0111,Vegan Garlic Pickled Okra - 16oz - Tabitha Brown,https://www.target.com/p/vegan-garlic-pickled-okra-16oz-tabitha-brown/-/A-89479959,https://target.scene7.com/is/image/Target/GUEST_7277aa90-3d21-4e75-85b6-f2e40783b5a6,Target/Ways to Shop/Brand Experiences/Tabitha Brown for Target
89479960,89479960,212-06-0112,Vegan Peppered Lemon-Flavored Pickled Okra - 16oz - Tabitha Brown,https://www.target.com/p/vegan-peppered-lemon-flavored-pickled-okra-16oz-tabitha-brown/-/A-89479960,https://target.scene7.com/is/image/Target/GUEST_745bd667-2750-4682-b8ca-4540d391ed56,Target/Ways to Shop/Brand Experiences/Tabitha Brown for Target
