tcin,original_tcin,dpci,title,url,image_url,merged_bread_crumbs
87656950,87656950,094-08-6501,Legendary Foods Protein Pastries Nutrition Bars - Strawberry - 8.6oz/4ct,https://www.target.com/p/legendary-foods-protein-pastries-nutrition-bars-strawberry-8-6oz-4ct/-/A-87656950,https://target.scene7.com/is/image/Target/GUEST_6b73d049-56b2-49f3-a087-fc77ba2424b9,"Target/Grocery/Bakery & Bread/Cakes, Cookies & Pies"
87306038,87306038,218-13-0202,S&#39;mores Mini Cupcakes - 10oz/12ct - Favorite Day&#8482;,https://www.target.com/p/s-39-mores-mini-cupcakes-10oz-12ct-favorite-day-8482/-/A-87306038,https://target.scene7.com/is/image/Target/GUEST_d46ad149-8c6d-4b0d-9b51-abc5e49fbf6b,"Target/Grocery/Bakery & Bread/Cakes, Cookies & Pies"
87306073,87306073,218-13-0204,S&#39;mores Brownie Party Platter - 14oz/16ct - Favorite Day&#8482;,https://www.target.com/p/s-39-mores-brownie-party-platter-14oz-16ct-favorite-day-8482/-/A-87306073,https://target.scene7.com/is/image/Target/GUEST_83daccda-34d6-4b71-8220-bca54e080b9c,"Target/Grocery/Bakery & Bread/Cakes, Cookies & Pies"
87304962,87304962,218-13-0206,Grillable Brownie S&#39;more in Aluminum Pan - 15.3oz - Favorite Day&#8482;,https://www.target.com/p/grillable-brownie-s-39-more-in-aluminum-pan-15-3oz-favorite-day-8482/-/A-87304962,https://target.scene7.com/is/image/Target/GUEST_aa89e6ea-1383-4c12-821f-0e6f2caa711b,"Target/Grocery/Bakery & Bread/Cakes, Cookies & Pies"
86035281,86035281,218-01-0054,Chocolate Chip Cookies - 16ct/22.4oz - Favorite Day&#8482;,https://www.target.com/p/chocolate-chip-cookies-16ct-22-4oz-favorite-day-8482/-/A-86035281,https://target.scene7.com/is/image/Target/GUEST_5f8c94b9-4c9c-4c67-96ba-86194e2f8bb6,"Target/Grocery/Bakery & Bread/Cakes, Cookies & Pies"
87396118,87396118,218-13-0187,Summer Cake Pops - 4pk/5.4oz - Favorite Day&#8482;,https://www.target.com/p/summer-cake-pops-4pk-5-4oz-favorite-day-8482/-/A-87396118,https://target.scene7.com/is/image/Target/GUEST_d8139d58-83ac-404b-b2c2-992556f6d1d0,"Target/Grocery/Bakery & Bread/Cakes, Cookies & Pies"
52712049,52712049,218-05-0031,Blueberry Streusel Muffins - 4ct/14oz - Favorite Day&#8482;,https://www.target.com/p/blueberry-streusel-muffins-4ct-14oz-favorite-day-8482/-/A-52712049,https://target.scene7.com/is/image/Target/GUEST_83a82b43-abcc-4359-8331-5123e45921e1,"Target/Grocery/Bakery & Bread/Cakes, Cookies & Pies"
47920377,47920377,218-01-2580,Chocolate &#38; Vanilla Mini Cupcakes - 10oz/12ct - Favorite Day&#8482;,https://www.target.com/p/chocolate-38-vanilla-mini-cupcakes-10oz-12ct-favorite-day-8482/-/A-47920377,https://target.scene7.com/is/image/Target/GUEST_8168aa4e-5308-400e-b1c3-07c41af955b1,"Target/Grocery/Bakery & Bread/Cakes, Cookies & Pies"
14827476,14827476,218-01-1250,White Frosted Sprinkles Sugar Cookies - 13.5oz/10ct - Favorite Day&#8482;,https://www.target.com/p/white-frosted-sprinkles-sugar-cookies-13-5oz-10ct-favorite-day-8482/-/A-14827476,https://target.scene7.com/is/image/Target/GUEST_4ba1a09f-d45b-43e1-9b87-bf887ebed41d,"Target/Grocery/Bakery & Bread/Cakes, Cookies & Pies"
90263567,90263567,218-01-0165,Brownie Bites - 32ct/32oz - Favorite Day&#8482;,https://www.target.com/p/brownie-bites-32ct-32oz-favorite-day-8482/-/A-90263567,https://target.scene7.com/is/image/Target/GUEST_56a60a73-719b-4cfa-9430-29ed49a35254,"Target/Grocery/Bakery & Bread/Cakes, Cookies & Pies"
