tcin,original_tcin,dpci,title,url,image_url,merged_bread_crumbs
81642560,81642560,203-13-0027,MiO Orange Tangerine Liquid Water Enhancer - 3.24 fl oz Bottle,https://www.target.com/p/mio-orange-tangerine-liquid-water-enhancer-3-24-fl-oz-bottle/-/A-81642560,https://target.scene7.com/is/image/Target/GUEST_c89ee31d-54bd-4343-8ec8-628de9dabcbe,Target/Grocery/Beverages/Water
90666198,90666198,203-75-0266,Ac+ion Alkaline Water - 12pk/1L Bottles,https://www.target.com/p/ac-ion-alkaline-water-12pk-1l-bottles/-/A-90666198,https://target.scene7.com/is/image/Target/GUEST_142fa022-ce6b-407c-b7d7-4a6817a3fd37,Target/Grocery/Beverages/Water
54407104,54407104,203-60-0096,Purified Drinking Water - 24pk/16.9 fl oz Bottles - Good & Gather&#8482;,https://www.target.com/p/purified-drinking-water-24pk-16-9-fl-oz-bottles-good-gather-8482/-/A-54407104,https://target.scene7.com/is/image/Target/GUEST_6710c306-f293-446b-bde1-d3f1ef342823,Target/Grocery/Beverages/Water
81644373,81644373,203-60-0123,Purified Water - 32pk/16.9 fl oz Bottles - Good &#38; Gather&#8482;,https://www.target.com/p/purified-water-32pk-16-9-fl-oz-bottles-good-38-gather-8482/-/A-81644373,https://target.scene7.com/is/image/Target/GUEST_73e87b48-0bca-46d1-ad20-39c29a9eace1,Target/Grocery/Beverages/Water
54444789,54444789,203-60-0097,Purified Water - 128 fl oz (1gal) - Good &#38; Gather&#8482;,https://www.target.com/p/purified-water-128-fl-oz-1gal-good-38-gather-8482/-/A-54444789,https://target.scene7.com/is/image/Target/GUEST_939f41df-f4e9-4ea4-aa0f-f9f55c00e634,Target/Grocery/Beverages/Water
54444818,54444818,203-60-0098,Distilled Water - 128 fl oz (1gal) - Good &#38; Gather&#8482;,https://www.target.com/p/distilled-water-128-fl-oz-1gal-good-38-gather-8482/-/A-54444818,https://target.scene7.com/is/image/Target/GUEST_c6115ca5-5bb5-4ce1-a053-a9e2fcec0783,Target/Grocery/Beverages/Water
81642561,81642561,203-13-0030,MiO Lemonade Liquid Water Enhancer - 3.24 fl oz Bottle,https://www.target.com/p/mio-lemonade-liquid-water-enhancer-3-24-fl-oz-bottle/-/A-81642561,https://target.scene7.com/is/image/Target/GUEST_0febe611-4615-48ef-aeb2-5d5bbf3a9ce4,Target/Grocery/Beverages/Water
81642564,81642564,203-13-0057,MiO Strawberry Watermelon Liquid Water Enhancer - 3.24 fl oz Bottle,https://www.target.com/p/mio-strawberry-watermelon-liquid-water-enhancer-3-24-fl-oz-bottle/-/A-81642564,https://target.scene7.com/is/image/Target/GUEST_f1e2c852-5937-4a77-bea4-ecf4ddbb7971,Target/Grocery/Beverages/Water
90651358,90651358,203-22-0604,Splash Fizz Lemonade Sparkling Water Beverage - 12pk/20 fl oz Bottles,https://www.target.com/p/splash-fizz-lemonade-sparkling-water-beverage-12pk-20-fl-oz-bottles/-/A-90651358,https://target.scene7.com/is/image/Target/GUEST_bea87c5a-22b8-45ff-8338-7b2321d1cecc,Target/Grocery/Beverages/Water
12959613,12959613,271-40-0106,Aquafina Pure Unflavored Water - 24pk/16.9 fl oz Bottles,https://www.target.com/p/aquafina-pure-unflavored-water-24pk-16-9-fl-oz-bottles/-/A-12959613,https://target.scene7.com/is/image/Target/GUEST_cca390a7-18d2-4d4d-bf0c-36c0c5a9e806,Target/Grocery/Beverages/Water
