tcin,original_tcin,dpci,title,url,image_url,merged_bread_crumbs
85617268,85617268,231-16-0028,Hot Chocolate Bombs - Milk w/White Drizzle &#38; White w/Confetti - 3.2oz - Favorite Day&#8482;,https://www.target.com/p/hot-chocolate-bombs-milk-w-white-drizzle-38-white-w-confetti-3-2oz-favorite-day-8482/-/A-85617268,https://target.scene7.com/is/image/Target/GUEST_4907e96c-1550-44ec-8c50-b06f3448317e,Target/Grocery/Beverages/Cocoa
85617301,85617301,231-16-0029,Hot Chocolate Bombs: Dark w/White &#38; Milk w/Salted Caramel - 3.2oz - Favorite Day&#8482;,https://www.target.com/p/hot-chocolate-bombs-dark-w-white-38-milk-w-salted-caramel-3-2oz-favorite-day-8482/-/A-85617301,https://target.scene7.com/is/image/Target/GUEST_10c86c3f-c795-4baf-9f5c-94182d0f06b2,Target/Grocery/Beverages/Cocoa
78613356,78613356,231-16-0184,Nestle Nesquik Chocolate Flavor Powder - 20.1oz,https://www.target.com/p/nestle-nesquik-chocolate-flavor-powder-20-1oz/-/A-78613356,https://target.scene7.com/is/image/Target/GUEST_df1b536e-a59f-4ee9-a9ca-3916699f39b7,Target/Grocery/Beverages/Cocoa
14751838,14751838,203-16-0099,Yoo-hoo Chocolate Drink - 10pk/6.5 fl oz Boxes,https://www.target.com/p/yoo-hoo-chocolate-drink-10pk-6-5-fl-oz-boxes/-/A-14751838,https://target.scene7.com/is/image/Target/GUEST_ce537e36-738e-4cb6-871d-17ae608ce2f9,Target/Grocery/Beverages/Cocoa
14045525,14045525,231-16-0098,Ovaltine Rich Chocolate Mix - 12oz,https://www.target.com/p/ovaltine-rich-chocolate-mix-12oz/-/A-14045525,https://target.scene7.com/is/image/Target/GUEST_7634255d-bf5a-41fe-9411-0442ada0666c,Target/Grocery/Beverages/Cocoa
79585470,79585470,231-10-5284,Swiss Miss Milk Chocolate Keurig K-Cup Pods - Hot Cocoa - 22ct,https://www.target.com/p/swiss-miss-milk-chocolate-keurig-k-cup-pods-hot-cocoa-22ct/-/A-79585470,https://target.scene7.com/is/image/Target/GUEST_59fa866b-13e3-427a-a2df-8268cbbc052a,Target/Grocery/Beverages/Cocoa
53440168,53440168,231-16-0145,Swiss Miss Milk Chocolate Hot Cocoa Mix  - 8ct,https://www.target.com/p/swiss-miss-milk-chocolate-hot-cocoa-mix-8ct/-/A-53440168,https://target.scene7.com/is/image/Target/GUEST_f6679182-b9d5-4eb0-ac0c-1d70d1f08957,Target/Grocery/Beverages/Cocoa
14774776,14774776,231-16-0040,Starbucks Double Chocolate Hot Cocoa Mix - 8ct,https://www.target.com/p/starbucks-double-chocolate-hot-cocoa-mix-8ct/-/A-14774776,https://target.scene7.com/is/image/Target/GUEST_8ce362a0-0bb3-4eea-8f2b-357449c9b072,Target/Grocery/Beverages/Cocoa
78613320,78613320,231-16-0183,Nestle Nesquik Strawberry Flavor Powder - 18.7oz,https://www.target.com/p/nestle-nesquik-strawberry-flavor-powder-18-7oz/-/A-78613320,https://target.scene7.com/is/image/Target/GUEST_a8ce950e-6ed1-452f-9f66-3e7ffcb1a9c1,Target/Grocery/Beverages/Cocoa
53440057,53440057,231-16-0143,Swiss Miss Marshmallow Hot Cocoa Mix Canister - 37.18oz,https://www.target.com/p/swiss-miss-marshmallow-hot-cocoa-mix-canister-37-18oz/-/A-53440057,https://target.scene7.com/is/image/Target/GUEST_17c7ccbd-a08a-4de6-9a09-9dbd1679ea27,Target/Grocery/Beverages/Cocoa
