tcin,original_tcin,dpci,title,url,image_url,merged_bread_crumbs
90528726,90528726,071-18-0283,GoGo SqueeZ Active Strawberry Pineapple &#38; Orange Fruit Blend Variety Pack - 2.42oz,https://www.target.com/p/gogo-squeez-active-strawberry-pineapple-38-orange-fruit-blend-variety-pack-2-42oz/-/A-90528726,https://target.scene7.com/is/image/Target/GUEST_d619a439-0538-496e-85b5-95f84de6c6f1,Target/Grocery/Snacks/Applesauce & Fruit Cups
89812070,89812070,071-18-0003,Noka Organic Superfood Smoothie Super Berry + Immune Support - 16.9oz/4pk,https://www.target.com/p/noka-superfood-smoothies-super-berry-immune-support-16-9oz-4pk/-/A-89812070,https://target.scene7.com/is/image/Target/GUEST_4425a361-0ffd-43bc-9ad8-ef462e28d0ac,Target/Grocery/Snacks/Applesauce & Fruit Cups
54532257,54532257,071-18-0607,Homestyle Applesauce Jar - 48oz - Good & Gather&#8482;,https://www.target.com/p/homestyle-applesauce-jar-48oz-good-gather-8482/-/A-54532257,https://target.scene7.com/is/image/Target/GUEST_a1b3b826-d841-4066-afde-121f06ede9c9,Target/Grocery/Snacks/Applesauce & Fruit Cups
84597695,84597695,071-18-0659,Organic Applesauce Pouches - Apple Mango - 12ct - Good &#38; Gather&#8482;,https://www.target.com/p/organic-applesauce-pouches-apple-mango-12ct-good-38-gather-8482/-/A-84597695,https://target.scene7.com/is/image/Target/GUEST_5cfd3103-4356-463c-a290-f317ab292e59,Target/Grocery/Snacks/Applesauce & Fruit Cups
13260477,13260477,071-18-0349,Del Monte Diced Peaches Diced Pears & Mandarin Oranges Fruit Cups - 4oz/12ct,https://www.target.com/p/del-monte-diced-peaches-diced-pears-mandarin-oranges-fruit-cups-4oz-12ct/-/A-13260477,https://target.scene7.com/is/image/Target/GUEST_efe60432-deca-428c-a64f-fc99fa3e7aa7,Target/Grocery/Snacks/Applesauce & Fruit Cups
82089077,82089077,071-18-0663,GoGo SqueeZ Fruit &#38; VeggieZ Dino Variety Pack - 3.2oz/20ct,https://www.target.com/p/gogo-squeez-fruit-38-veggiez-dino-variety-pack-3-2oz-20ct/-/A-82089077,https://target.scene7.com/is/image/Target/GUEST_218631b9-ed39-44e8-8c32-d191f37e4bc6,Target/Grocery/Snacks/Applesauce & Fruit Cups
14535420,14535420,071-18-0086,"GoGo squeeZ Applesauce, Apple Apple - 3.2oz/12ct",https://www.target.com/p/gogo-squeez-applesauce-apple-apple-3-2oz-12ct/-/A-14535420,https://target.scene7.com/is/image/Target/GUEST_ef2763d7-7570-4c5c-8d9c-69bcdf541c94,Target/Grocery/Snacks/Applesauce & Fruit Cups
89812072,89812072,071-18-0008,Noka Organic Superfood Smoothie Strawberry Banana + Immune Support - 16.9oz/4pk,https://www.target.com/p/noka-superfood-smoothies-strawberry-banana-immune-support-16-9oz-4pk/-/A-89812072,https://target.scene7.com/is/image/Target/GUEST_009fa62e-65ff-45b2-9cde-c18fb697bb18,Target/Grocery/Snacks/Applesauce & Fruit Cups
76201382,76201382,071-18-6966,"GoGo squeeZ Applesauce, Variety Apple/Peach/GIMME 5 - 3.2oz/20ct",https://www.target.com/p/gogo-squeez-applesauce-variety-apple-peach-gimme-5-3-2oz-20ct/-/A-76201382,https://target.scene7.com/is/image/Target/GUEST_f8a70817-4dd6-4447-ab23-7312475ff4ca,Target/Grocery/Snacks/Applesauce & Fruit Cups
54532254,54532254,071-18-0609,Organic Unsweetened Applesauce Cups - 6ct - Good & Gather&#8482;,https://www.target.com/p/organic-unsweetened-applesauce-cups-6ct-good-gather-8482/-/A-54532254,https://target.scene7.com/is/image/Target/GUEST_0c5fe993-5d10-4eb3-9499-00ddd39c2a95,Target/Grocery/Snacks/Applesauce & Fruit Cups
