tcin,original_tcin,dpci,title,url,image_url,merged_bread_crumbs
88111142,88111142,213-09-9786,White Claw Spirits Vodka Soda Variety - 8pk/12 fl oz Cans,https://www.target.com/p/white-claw-spirits-vodka-soda-variety-8pk-12-fl-oz-cans/-/A-88111142,https://target.scene7.com/is/image/Target/GUEST_6d3aab3e-84a7-4e81-b212-b607b4b4d912,"Target/Grocery/Wine, Beer & Liquor/Hard Seltzers & Canned Cocktails"
87925255,87925255,213-11-3676,Cutwater Margarita Variety Pack - 12pk/200ml Cans,https://www.target.com/p/cutwater-margarita-variety-pack-12pk-200ml-cans/-/A-87925255,https://target.scene7.com/is/image/Target/GUEST_60f35008-4e35-479f-ae9c-3303c349115d,"Target/Grocery/Wine, Beer & Liquor/Hard Seltzers & Canned Cocktails"
87925002,87925002,213-11-3678,High Noon Tequila Seltzer Variety Pack - 8pk/200ml Cans,https://www.target.com/p/high-noon-tequila-seltzer-variety-pack-8pk-200ml-cans/-/A-87925002,https://target.scene7.com/is/image/Target/GUEST_3bfe044f-3a6a-4e12-a1b0-e6bcf3fb6443,"Target/Grocery/Wine, Beer & Liquor/Hard Seltzers & Canned Cocktails"
87431157,87431157,213-01-9843,Bold Rock Imperial Cider - 6pk/12 fl oz Bottles,https://www.target.com/p/bold-rock-imperial-cider-6pk-12-fl-oz-bottles/-/A-87431157,https://target.scene7.com/is/image/Target/GUEST_ee3984dc-61ff-4ae0-82f7-93ece1586097,"Target/Grocery/Wine, Beer & Liquor/Hard Seltzers & Canned Cocktails"
87445593,87445593,213-01-9938,Crooks Still Variety Pack - 8pk/11.5 fl oz Cans,https://www.target.com/p/crooks-still-variety-pack-8pk-11-5-fl-oz-cans/-/A-87445593,https://target.scene7.com/is/image/Target/GUEST_20521e69-4815-410f-9d92-9dff864f696d,"Target/Grocery/Wine, Beer & Liquor/Hard Seltzers & Canned Cocktails"
87431155,87431155,213-01-9980,Bojangles Hard Tea - 12pk/12 fl oz Cans,https://www.target.com/p/bojangles-hard-tea-12pk-12-fl-oz-cans/-/A-87431155,https://target.scene7.com/is/image/Target/GUEST_b3b67667-fefc-421c-abfc-0b2dd697f7de,"Target/Grocery/Wine, Beer & Liquor/Hard Seltzers & Canned Cocktails"
88382602,88382602,213-09-3788,Topo Chico Spirited Tequila &#38; Lime - 4pk/12 fl oz Cans,https://www.target.com/p/topo-chico-spirited-tequila-38-lime-4pk-12-fl-oz-cans/-/A-88382602,https://target.scene7.com/is/image/Target/GUEST_71f0a690-fbaf-4511-bd96-f0b7c9355e61,"Target/Grocery/Wine, Beer & Liquor/Hard Seltzers & Canned Cocktails"
88382603,88382603,213-09-3789,Topo Chico Spirited Tequila &#38; Grapefruit - 4pk/12 fl oz Cans,https://www.target.com/p/topo-chico-spirited-tequila-38-grapefruit-4pk-12-fl-oz-cans/-/A-88382603,https://target.scene7.com/is/image/Target/GUEST_b172e956-d0d1-4b82-8a5f-7eb4f8363172,"Target/Grocery/Wine, Beer & Liquor/Hard Seltzers & Canned Cocktails"
88096514,88096514,213-11-1113,Mom Water Strawberry Kiwi - Susan - 4pk/12 fl oz Cans,https://www.target.com/p/mom-water-strawberry-kiwi-susan-4pk-12-fl-oz-cans/-/A-88096514,https://target.scene7.com/is/image/Target/GUEST_c2d8213e-c69f-4eaa-86b8-88a72773db3f,"Target/Grocery/Wine, Beer & Liquor/Hard Seltzers & Canned Cocktails"
87925602,87925602,213-11-3178,Devils Backbone Orange Smash - 4pk/12 fl oz Cans,https://www.target.com/p/devils-backbone-orange-smash-4pk-12-fl-oz-cans/-/A-87925602,https://target.scene7.com/is/image/Target/GUEST_2caa7c7b-e35a-4436-b99b-9bc3287474da,"Target/Grocery/Wine, Beer & Liquor/Hard Seltzers & Canned Cocktails"
