tcin,original_tcin,dpci,title,url,image_url,merged_bread_crumbs
47868632,47868632,270-05-0488,"Good Food Made Simple All Natural Bacon, Egg & Cheese Breakfast Frozen Burrito - 5oz",https://www.target.com/p/good-food-made-simple-all-natural-bacon-egg-cheese-breakfast-frozen-burrito-5oz/-/A-47868632,https://target.scene7.com/is/image/Target/GUEST_f8d34a4c-47ee-42c0-8fe1-aa21342926ef,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13234505,13234505,270-02-0058,Smucker&#39;s Uncrustables Frozen Peanut Butter &#38; Strawberry Jam Sandwich - 8oz/4ct,https://www.target.com/p/smucker-39-s-uncrustables-frozen-peanut-butter-38-strawberry-jam-sandwich-8oz-4ct/-/A-13234505,https://target.scene7.com/is/image/Target/GUEST_a044eae8-3808-4123-80a0-490339e02fba,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
26398567,26398567,270-02-0605,Healthy Choice Caf&#233; Steamers Frozen Beef Teriyaki - 9.5oz,https://www.target.com/p/healthy-choice-caf-233-steamers-frozen-beef-teriyaki-9-5oz/-/A-26398567,https://target.scene7.com/is/image/Target/GUEST_1993ac05-e97c-4e68-9c30-e31f9380d7de,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13234506,13234506,270-02-0056,Smucker&#39;s Uncrustables Frozen Peanut Butter &#38; Grape Jelly Sandwich - 8oz/4ct,https://www.target.com/p/smucker-39-s-uncrustables-frozen-peanut-butter-38-grape-jelly-sandwich-8oz-4ct/-/A-13234506,https://target.scene7.com/is/image/Target/GUEST_2e34ac2e-428b-482d-8bfb-0c67e13c16fd,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13459031,13459031,270-02-1550,Stouffer&#39;s Frozen Homestyle Classics Frozen Salisbury Steak with Macaroni and Cheese - 9.625oz,https://www.target.com/p/stouffer-39-s-frozen-homestyle-classics-frozen-salisbury-steak-with-macaroni-and-cheese-9-625oz/-/A-13459031,https://target.scene7.com/is/image/Target/GUEST_f91d9737-117c-4762-aa3c-10dd4ef00109,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13505877,13505877,288-03-0697,DiGiorno Cheese Stuffed Crust Four Cheese Frozen Pizza - 8.5oz,https://www.target.com/p/digiorno-cheese-stuffed-crust-four-cheese-frozen-pizza-8-5oz/-/A-13505877,https://target.scene7.com/is/image/Target/GUEST_2b470a74-7398-43fb-b2be-9b2846db2a1b,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
82397108,82397108,270-02-0466,Frozen Stuffed Mini Rigatoni in a Marinara Sauce -with Hidden Vegetables - 8oz - Good &#38; Gather&#8482;,https://www.target.com/p/frozen-stuffed-mini-rigatoni-in-a-marinara-sauce-with-hidden-vegetables-8oz-good-38-gather-8482/-/A-82397108,https://target.scene7.com/is/image/Target/GUEST_1e3676b8-4471-4ce1-b1a7-3697894b4290,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
86800703,86800703,270-02-5415,Stouffer&#39;s Frozen Swedish Meatballs - 11.5oz,https://www.target.com/p/stouffer-39-s-frozen-swedish-meatballs-11-5oz/-/A-86800703,https://target.scene7.com/is/image/Target/GUEST_974e0b28-ee7c-4648-8fce-d22429fda8fc,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
53279419,53279419,270-02-0575,P.F. Chang's Frozen Chicken Lo Mein Bowl - 11oz,https://www.target.com/p/p-f-chang-s-frozen-chicken-lo-mein-bowl-11oz/-/A-53279419,https://target.scene7.com/is/image/Target/GUEST_f21ebc88-dc2a-490a-9002-f64f2bc88398,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
14931971,14931971,270-02-1033,Amy&#39;s Gluten Free Frozen Broccoli &#38; Cheddar Bake Meal Bowls - 9.5oz,https://www.target.com/p/amy-39-s-gluten-free-frozen-broccoli-38-cheddar-bake-meal-bowls-9-5oz/-/A-14931971,https://target.scene7.com/is/image/Target/GUEST_e23294a2-c6b5-424b-b382-595cef4bc2ee,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
88063605,88063605,270-02-0313,Lean Cuisine Frozen Orange Chicken - 10oz,https://www.target.com/p/lean-cuisine-frozen-orange-chicken-10oz/-/A-88063605,https://target.scene7.com/is/image/Target/GUEST_ba381a05-f913-4643-95e6-9df12405bd92,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13234508,13234508,270-02-0101,Smucker&#39;s Uncrustables Frozen Whole Wheat Peanut Butter &#38; Strawberry Jam Sandwich - 8oz/4ct,https://www.target.com/p/smucker-39-s-uncrustables-frozen-whole-wheat-peanut-butter-38-strawberry-jam-sandwich-8oz-4ct/-/A-13234508,https://target.scene7.com/is/image/Target/GUEST_02adc3fe-639e-4a9d-bc35-f5f9d89487bf,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13459032,13459032,270-02-1551,Stouffer&#39;s  Frozen Classic Meatloaf - 9.875oz,https://www.target.com/p/stouffer-39-s-frozen-classic-meatloaf-9-875oz/-/A-13459032,https://target.scene7.com/is/image/Target/GUEST_488ad210-0074-427a-a41d-352f1a3d0a41,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13505878,13505878,288-03-0699,DiGiorno Cheese Stuffed Crust Pepperoni Frozen Pizza - 8.5oz,https://www.target.com/p/digiorno-cheese-stuffed-crust-pepperoni-frozen-pizza-8-5oz/-/A-13505878,https://target.scene7.com/is/image/Target/GUEST_d18a621b-cd72-4053-864b-6a1ac213d257,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13469341,13469341,270-02-1537,Stouffer&#39;s Frozen Classics Frozen Fettuccini Alfredo - 11.5oz,https://www.target.com/p/stouffer-39-s-frozen-classics-frozen-fettuccini-alfredo-11-5oz/-/A-13469341,https://target.scene7.com/is/image/Target/GUEST_c4ef2412-fa8d-47db-b19f-d82d946db52d,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13291617,13291617,270-02-0300,Lean Cuisine Protein Kick Four Cheese Frozen Pizza - 6oz,https://www.target.com/p/lean-cuisine-protein-kick-four-cheese-frozen-pizza-6oz/-/A-13291617,https://target.scene7.com/is/image/Target/GUEST_7695c428-c169-4eb9-9568-4d5eaf16a8b7,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13329510,13329510,270-06-0558,El Monterey Family Pack Beef &#38; Bean Frozen Burritos - 32oz/8ct,https://www.target.com/p/el-monterey-family-pack-beef-38-bean-frozen-burritos-32oz-8ct/-/A-13329510,https://target.scene7.com/is/image/Target/GUEST_e8769e3f-1a43-4230-bc5b-0515db83ecb9,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
26397716,26397716,270-02-1271,Healthy Choice Simply Steamers Frozen Chicken Broccoli Alfredo - 9.15oz,https://www.target.com/p/healthy-choice-simply-steamers-frozen-chicken-broccoli-alfredo-9-15oz/-/A-26397716,https://target.scene7.com/is/image/Target/GUEST_a582d32a-6475-44e8-8332-c998727143d8,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13291577,13291577,270-02-1499,Stouffer&#39;s Frozen Macaroni &#38; Cheese - 12oz,https://www.target.com/p/stouffer-39-s-frozen-macaroni-38-cheese-12oz/-/A-13291577,https://target.scene7.com/is/image/Target/GUEST_057c96b5-ad86-4ee6-a6f2-e047ebb39780,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13291399,13291399,270-02-1264,Lean Cuisine Frozen Comfort Cravings Alfredo Pasta with Chicken &#38; Broccoli - 10oz,https://www.target.com/p/lean-cuisine-frozen-comfort-cravings-alfredo-pasta-with-chicken-38-broccoli-10oz/-/A-13291399,https://target.scene7.com/is/image/Target/GUEST_754ea111-8afe-44da-83b8-c0296adc6357,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13192275,13192275,270-02-0512,Amy&#39;s Frozen Pesto Tortellini Bowls - 9.5oz,https://www.target.com/p/amy-39-s-frozen-pesto-tortellini-bowls-9-5oz/-/A-13192275,https://target.scene7.com/is/image/Target/GUEST_51d349f0-1955-4b7e-9b21-64f614df3009,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
88063608,88063608,270-02-8639,Lean Cuisine Frozen Glazed Chicken - 9.5oz,https://www.target.com/p/lean-cuisine-frozen-glazed-chicken-9-5oz/-/A-88063608,https://target.scene7.com/is/image/Target/GUEST_bb55244a-c4aa-43e8-8980-93dd8cebac83,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13428577,13428577,288-03-0467,DiGiorno Traditional Crust Four Cheese Frozen Pizza - 9.2oz,https://www.target.com/p/digiorno-traditional-crust-four-cheese-frozen-pizza-9-2oz/-/A-13428577,https://target.scene7.com/is/image/Target/GUEST_967bb122-609b-4eda-aa1f-451024da6416,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
14972023,14972023,270-02-0099,Amy&#39;s Vegan Gluten Free Frozen Pad Thai - 9.5oz,https://www.target.com/p/amy-39-s-vegan-gluten-free-frozen-pad-thai-9-5oz/-/A-14972023,https://target.scene7.com/is/image/Target/GUEST_bc567b7c-4003-4b74-9dfb-f87ded4cf290,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
84244078,84244078,270-05-4330,Garden Lite Veggies Made Great Gluten Free Frozen Keto Cinnamon Roll Muffin - 12oz,https://www.target.com/p/garden-lite-veggies-made-great-gluten-free-frozen-keto-cinnamon-roll-muffin-12oz/-/A-84244078,https://target.scene7.com/is/image/Target/GUEST_2113bb27-c1cb-427d-9dad-e3f3538e5890,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
50427809,50427809,270-02-0441,Healthy Choice Simply Steamers Frozen Creamy Spinach and Tomato Linguini - 9oz,https://www.target.com/p/healthy-choice-simply-steamers-frozen-creamy-spinach-and-tomato-linguini-9oz/-/A-50427809,https://target.scene7.com/is/image/Target/GUEST_840640bb-9427-40a5-9a67-5d9cf7529b91,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
17004543,17004543,270-02-0506,Smucker&#39;s Uncrustables Chocolate Flavored Hazelnut Spread Frozen Sandwich - 7.2oz/4ct,https://www.target.com/p/smucker-39-s-uncrustables-chocolate-flavored-hazelnut-spread-frozen-sandwich-7-2oz-4ct/-/A-17004543,https://target.scene7.com/is/image/Target/GUEST_73b0f177-d610-4498-ac9a-bc8dbd2494e2,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
16710634,16710634,270-02-1230,Healthy Choice Simply Steamers Frozen Meatball Marinara - 10oz,https://www.target.com/p/healthy-choice-simply-steamers-frozen-meatball-marinara-10oz/-/A-16710634,https://target.scene7.com/is/image/Target/GUEST_4f511bf0-cf34-4419-9777-90fc5714e038,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13234507,13234507,270-02-0102,Smucker&#39;s Uncrustables Frozen  Whole Wheat Peanut Butter &#38; Grape Jelly Sandwiches - 8oz/4ct,https://www.target.com/p/smucker-39-s-uncrustables-frozen-whole-wheat-peanut-butter-38-grape-jelly-sandwiches-8oz-4ct/-/A-13234507,https://target.scene7.com/is/image/Target/GUEST_da095af1-459e-4012-a9fe-e96d3ef605e6,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13192334,13192334,270-02-0513,Amy&#39;s Frozen Bowls Mexican Casserole Gluten Free - 9.5 oz,https://www.target.com/p/amy-39-s-frozen-bowls-mexican-casserole-gluten-free-9-5-oz/-/A-13192334,https://target.scene7.com/is/image/Target/GUEST_d2d55408-8323-4385-901d-a55f962a0492,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13393476,13393476,270-05-0107,Jimmy Dean Delights Frozen Turkey Sausage Breakfast Bowl - 7oz,https://www.target.com/p/jimmy-dean-delights-frozen-turkey-sausage-breakfast-bowl-7oz/-/A-13393476,https://target.scene7.com/is/image/Target/GUEST_07ce89b8-655d-4388-862a-42a295ef6ebd,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
51972481,51972481,270-02-1599,Devour Frozen White Cheddar Mac &#38; Cheese with Bacon - 12oz,https://www.target.com/p/devour-frozen-white-cheddar-mac-38-cheese-with-bacon-12oz/-/A-51972481,https://target.scene7.com/is/image/Target/GUEST_fd40daa0-1b98-400b-ad07-fcc4d6e05c5a,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
17129693,17129693,270-02-1473,Lean Cuisine Protein Kick Frozen Vermont White Cheddar Macaroni and Cheese - 8oz,https://www.target.com/p/lean-cuisine-protein-kick-frozen-vermont-white-cheddar-macaroni-and-cheese-8oz/-/A-17129693,https://target.scene7.com/is/image/Target/GUEST_c7d45d19-39f2-4931-bc54-770c22744b75,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
51845849,51845849,270-02-0436,Healthy Choice Simply Steamers Frozen Beef &#38; Broccoli - 10oz,https://www.target.com/p/healthy-choice-simply-steamers-frozen-beef-38-broccoli-10oz/-/A-51845849,https://target.scene7.com/is/image/Target/GUEST_eabfde5f-3312-4f4b-ae74-c2ec2fda378b,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
14793370,14793370,270-05-0229,Jimmy Dean Frozen Meat Lovers Breakfast Bowl - 7oz,https://www.target.com/p/jimmy-dean-frozen-meat-lovers-breakfast-bowl-7oz/-/A-14793370,https://target.scene7.com/is/image/Target/GUEST_3898e7ec-067d-4f61-91a5-cc52fa2f59dd,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
51972499,51972499,270-02-1600,Devour Frozen Buffalo Chicken Mac &#38; Cheese - 12oz,https://www.target.com/p/devour-frozen-buffalo-chicken-mac-38-cheese-12oz/-/A-51972499,https://target.scene7.com/is/image/Target/GUEST_e0051589-9c38-4c44-a284-1471524d1b79,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13374241,13374241,288-03-0143,Red Baron Five Cheese and Garlic French Bread Personal Frozen Pizza - 8.8oz/2pk,https://www.target.com/p/red-baron-frozen-pizza-french-bread-5-cheese-38-garlic-8-8oz-2pk/-/A-13374241,https://target.scene7.com/is/image/Target/GUEST_c27ebad2-a997-4cc5-9d4e-16bc2f3b9907,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13369394,13369394,270-02-1285,Lean Cuisine Frozen Comfort Cravings Chicken Enchilada Suiza - 9oz,https://www.target.com/p/lean-cuisine-frozen-comfort-cravings-chicken-enchilada-suiza-9oz/-/A-13369394,https://target.scene7.com/is/image/Target/GUEST_1e1807b9-ff44-4d8a-acd4-1e30c90534f5,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13192280,13192280,270-02-1077,Amy&#39;s Organic Gluten Free Frozen Corn &#38; Tomatoes Enchilada - 9oz,https://www.target.com/p/amy-39-s-organic-gluten-free-frozen-corn-38-tomatoes-enchilada-9oz/-/A-13192280,https://target.scene7.com/is/image/Target/GUEST_cc2de5b1-7d55-4b9d-8658-0d165f8c4104,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
50427821,50427821,270-02-0442,Healthy Choice Simply Steamers Gluten Free Vegan Frozen Unwrapped Burrito Bowl - 9.25oz,https://www.target.com/p/healthy-choice-simply-steamers-gluten-free-vegan-frozen-unwrapped-burrito-bowl-9-25oz/-/A-50427821,https://target.scene7.com/is/image/Target/GUEST_40fb8206-70db-49d4-9dd1-70275be19944,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
81314896,81314896,270-02-0421,Dr. Praeger&#39;s Frozen Gluten Free Sweet Potato Littles - 10oz,https://www.target.com/p/dr-praeger-39-s-frozen-gluten-free-sweet-potato-littles-10oz/-/A-81314896,https://target.scene7.com/is/image/Target/GUEST_beacc89e-efb9-4a25-8519-fbd277ec8170,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
52024021,52024021,270-02-0184,Healthy Choice Power Bowls Frozen Korean Beef - 9.5oz,https://www.target.com/p/healthy-choice-power-bowls-frozen-korean-beef-9-5oz/-/A-52024021,https://target.scene7.com/is/image/Target/GUEST_9f4ad085-a824-400c-b49e-446a597a879d,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13291576,13291576,270-02-0298,Lean Cuisine Protein Kick Pepperoni Frozen Pizza - 6oz,https://www.target.com/p/lean-cuisine-protein-kick-pepperoni-frozen-pizza-6oz/-/A-13291576,https://target.scene7.com/is/image/Target/GUEST_3ee53bd5-e755-41c9-9e35-69563091ec65,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
49121428,49121428,270-02-0059,Amy&#39;s Gluten Free Frozen Three Cheese Kale Bowl - 8.5oz,https://www.target.com/p/amy-39-s-gluten-free-frozen-three-cheese-kale-bowl-8-5oz/-/A-49121428,https://target.scene7.com/is/image/Target/GUEST_f1b5ad69-8e2c-4a1e-b617-73d28f40e9ff,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13429166,13429166,288-03-0468,DiGiorno Traditional Crust Pepperoni Frozen Pizza - 9.3oz,https://www.target.com/p/digiorno-traditional-crust-pepperoni-frozen-pizza-9-3oz/-/A-13429166,https://target.scene7.com/is/image/Target/GUEST_cee200f0-4c45-479f-827d-d1948ae72cc3,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
18786816,18786816,270-02-1474,Lean Cuisine Protein Kick Frozen Ricotta Cheese &#38; Spinach Ravioli - 8oz,https://www.target.com/p/lean-cuisine-protein-kick-frozen-ricotta-cheese-38-spinach-ravioli-8oz/-/A-18786816,https://target.scene7.com/is/image/Target/GUEST_cdb7b8cb-d41d-495b-8d60-a3277d6b1f62,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13409340,13409340,270-02-1500,Stouffer&#39;s Frozen Lasagna with Meat &#38; Sauce Classics - 10.5oz,https://www.target.com/p/stouffer-39-s-frozen-lasagna-with-meat-38-sauce-classics-10-5oz/-/A-13409340,https://target.scene7.com/is/image/Target/GUEST_28436a04-bcce-4121-aa3e-129a5d1a999c,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
14757532,14757532,270-02-0862,Stouffer's Frozen Spaghetti with Meat Sauce - 12oz,https://www.target.com/p/stouffer-s-frozen-spaghetti-with-meat-sauce-12oz/-/A-14757532,https://target.scene7.com/is/image/Target/GUEST_09b928af-81f3-4f21-8cb2-b909370a8e3c,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
14793377,14793377,270-06-0092,Hot Pockets Frozen Crispy Crust Premium Pepperoni Pizza - 9oz/2ct,https://www.target.com/p/hot-pockets-frozen-crispy-crust-premium-pepperoni-pizza-9oz-2ct/-/A-14793377,https://target.scene7.com/is/image/Target/GUEST_c8212e50-30db-45ef-bf80-8530a8e63c49,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
78617640,78617640,270-02-2500,Dr. Praeger&#39;s Frozen Gluten Free Broccoli Littles - 10oz,https://www.target.com/p/dr-praeger-39-s-frozen-gluten-free-broccoli-littles-10oz/-/A-78617640,https://target.scene7.com/is/image/Target/GUEST_d3209270-1605-4007-80a5-b61d6010e232,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
81624966,81624966,270-02-8196,Purple Carrot Gluten Free Vegan Frozen Sweet Corn Elote Bowl - 10.75oz,https://www.target.com/p/purple-carrot-gluten-free-vegan-frozen-sweet-corn-elote-bowl-10-75oz/-/A-81624966,https://target.scene7.com/is/image/Target/GUEST_949bcd81-0c29-48fc-a458-d5f3f6f10cfd,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
88327495,88327495,270-02-0348,Frozen Sunbutter No Crust Sandwich Strawberry - 4ct - Good &#38; Gather&#8482;,https://www.target.com/p/frozen-sunbutter-no-crust-sandwich-strawberry-4ct-good-38-gather-8482/-/A-88327495,https://target.scene7.com/is/image/Target/GUEST_53a368c8-514c-413d-9cfe-1bcb835abd56,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13369390,13369390,270-02-0427,Lean Cuisine Comfort Cravings Frozen Five Cheese Rigatoni - 10oz,https://www.target.com/p/lean-cuisine-comfort-cravings-frozen-five-cheese-rigatoni-10oz/-/A-13369390,https://target.scene7.com/is/image/Target/GUEST_0e763d63-de31-48c4-9698-9767906aab6e,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
15295133,15295133,270-02-1397,Amy&#39;s Bean &#38; Cheese Frozen Burrito - 6oz,https://www.target.com/p/amy-39-s-bean-38-cheese-frozen-burrito-6oz/-/A-15295133,https://target.scene7.com/is/image/Target/GUEST_6b6bdbf3-5dfc-4168-b196-234c8d05701e,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13192153,13192153,270-02-0795,Amy&#39;s Frozen Organic Macaroni &#38; Cheese - 9oz,https://www.target.com/p/amy-39-s-frozen-organic-macaroni-38-cheese-9oz/-/A-13192153,https://target.scene7.com/is/image/Target/GUEST_abcf39c0-775e-4ef7-a87f-b1fbd5688d3a,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
49121436,49121436,270-02-0060,Amy&#39;s Frozen Gluten Free Chili Mac Bowl - 9oz,https://www.target.com/p/amy-39-s-frozen-gluten-free-chili-mac-bowl-9oz/-/A-49121436,https://target.scene7.com/is/image/Target/GUEST_17fe8272-9e8f-4369-8a06-2c585ba86a5c,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
87497195,87497195,270-02-8211,Healthy Choice Frozen Power Bowls Pesto Chicken Pasta - 9oz,https://www.target.com/p/healthy-choice-frozen-power-bowls-pesto-chicken-pasta-9oz/-/A-87497195,https://target.scene7.com/is/image/Target/GUEST_b26225ed-7b8b-46a4-ac99-b771e098cc64,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
82397107,82397107,270-02-0465,Frozen Pasta Shells in Cheddar Cheese Sauce - 7oz - Good &#38; Gather&#8482;,https://www.target.com/p/frozen-pasta-shells-in-cheddar-cheese-sauce-7oz-good-38-gather-8482/-/A-82397107,https://target.scene7.com/is/image/Target/GUEST_af000739-dca4-47eb-b48c-185c70ea1371,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
14760220,14760220,270-02-0054,Amy&#39;s Gluten Free Frozen Cheese Enchilada Meal - 9oz,https://www.target.com/p/amy-39-s-gluten-free-frozen-cheese-enchilada-meal-9oz/-/A-14760220,https://target.scene7.com/is/image/Target/GUEST_1049bb2f-ce1d-4ebe-b68f-19b82cf2c472,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
14760222,14760222,270-02-0091,Amy&#39;s Frozen Cheese Ravioli with Sauce Bowl - 9.5oz,https://www.target.com/p/amy-39-s-frozen-cheese-ravioli-with-sauce-bowl-9-5oz/-/A-14760222,https://target.scene7.com/is/image/Target/GUEST_df759367-b1f6-4a35-8ef0-cd31345629b6,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13505879,13505879,288-03-0701,DiGiorno Cheese Stuffed Crust Three Meat Frozen Pizza - 9.2oz,https://www.target.com/p/digiorno-cheese-stuffed-crust-three-meat-frozen-pizza-9-2oz/-/A-13505879,https://target.scene7.com/is/image/Target/GUEST_a30ae18a-dfe6-404f-bd17-f7f226cb4cac,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13192154,13192154,270-02-1074,Amy&#39;s Frozen Organic Vegetable Lasagna - 9.5oz,https://www.target.com/p/amy-39-s-frozen-organic-vegetable-lasagna-9-5oz/-/A-13192154,https://target.scene7.com/is/image/Target/GUEST_734b2691-fd1b-430f-981b-bb37b86da030,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13409101,13409101,270-02-1282,Lean Cuisine Frozen Protein Kick Swedish Meatballs - 9.125oz,https://www.target.com/p/lean-cuisine-frozen-protein-kick-swedish-meatballs-9-125oz/-/A-13409101,https://target.scene7.com/is/image/Target/GUEST_e40ff9cc-9fd7-49b9-8bb0-0b1aec39ac44,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
54308659,54308659,270-02-0706,Benihana The Japanese Steakhouse Frozen Hibachi Chicken Rice - 10oz,https://www.target.com/p/benihana-the-japanese-steakhouse-frozen-hibachi-chicken-rice-10oz/-/A-54308659,https://target.scene7.com/is/image/Target/GUEST_07f47c9f-f312-4184-bf1a-b144a115fb67,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
84728627,84728627,270-02-3997,Purple Carrot Vegan Frozen Plant-Based Spinach Artichoke Cavatappi Bowl - 10.75oz,https://www.target.com/p/purple-carrot-vegan-frozen-plant-based-spinach-artichoke-cavatappi-bowl-10-75oz/-/A-84728627,https://target.scene7.com/is/image/Target/GUEST_fe0d889c-e99c-49e2-86af-01fb1f6ae60d,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
23974768,23974768,270-02-0025,Amy&#39;s Frozen Vegan Gluten Free Chinese Noodles with Veggies Cashew Cream Sauce - 9.5oz,https://www.target.com/p/amy-39-s-frozen-vegan-gluten-free-chinese-noodles-with-veggies-cashew-cream-sauce-9-5oz/-/A-23974768,https://target.scene7.com/is/image/Target/GUEST_cdbdb126-7e5c-48f4-99ab-e6a1a33beb56,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
14786821,14786821,270-02-1152,Evol Frozen Truffle Parmesan Macaroni and Cheese Bowl - 8oz,https://www.target.com/p/evol-frozen-truffle-parmesan-macaroni-and-cheese-bowl-8oz/-/A-14786821,https://target.scene7.com/is/image/Target/GUEST_5ebcf8df-3acd-4f75-afe0-084e4932e419,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
14760807,14760807,270-02-0897,Lean Cuisine Frozen Protein Kick Meatloaf with Mashed Potatoes - 9.375oz,https://www.target.com/p/lean-cuisine-frozen-protein-kick-meatloaf-with-mashed-potatoes-9-375oz/-/A-14760807,https://target.scene7.com/is/image/Target/GUEST_3a3f901f-f069-45c8-8bc0-e2eead62fbf4,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
13409451,13409451,270-06-0190,Hot Pockets Four Cheese Pizza &#38; Garlic Butter Crust Frozen Sandwich - 8.5oz/2pk,https://www.target.com/p/hot-pockets-four-cheese-pizza-38-garlic-butter-crust-frozen-sandwich-8-5oz-2pk/-/A-13409451,https://target.scene7.com/is/image/Target/GUEST_4192b01a-72ed-43e0-b8bc-f01d075e0d98,Target/Grocery/Frozen Foods/Frozen Single Serve Meals
